"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"GR LINGUINI TRAFILADO AL BRONZO 500GR X 20","GR LINGUINI TRAFILADO AL BRONZO","500GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_20.jpeg"
"GR FUSILLI TRAFILADO AL BRONZO 500 GR X 20","GR FUSILLI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_24.jpeg"
"GR CASERECCIA TRAFILADA AL BRONZO 500 GR X 20","GR CASERECCIA TRAFILADA AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_22.jpeg"
"GR RIGATONI  TRAFILADO AL BRONZO 500 GR X 20","GR RIGATONI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_21.jpeg"
"GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO  500 GR X 12","GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_40.jpeg"
"GR ORECHIETTE  TRAFILADO AL BRONZO500 GR X 20","GR ORECHIETTE TRAFILADO AL BRONZO500 GR","","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_9.jpeg"
"GR CALAMARI TRILADA AL BRONZO 500 GR X 12","GR CALAMARI TRILADA AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images\FOTO PASTAS_38.jpeg"
"GR SPAGHETTI GLUTEN FREE 400 GR X 12","GR SPAGHETTI GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images\FOTO PASTAS_14.jpeg"
"GR PENNE GLUTEN FREE  400 GR X 12","GR PENNE GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images\FOTO PASTAS_15.jpeg"
"GR FUSILLI GLUTEN FREE400 GR X 12","GR FUSILLI GLUTEN FREE400 GR","","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images\FOTO PASTAS_17.jpeg"
"GR LASAGNA GLUTEN FREE 250 GR X 12","GR LASAGNA GLUTEN FREE","250 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images\FOTO PASTAS_16.jpeg"
"GR GNOCHI DE PAPAS GLUTEN FREE 500GR X 12","GR GNOCHI DE PAPAS GLUTEN FREE","500GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images\FOTO PASTAS_18.jpeg"
"FB Aceite Extra Virgen chef 5 lit x 2","FB Aceite Extra Virgen chef 5 lit","","2","","SALOV","aceites extra virgen ","extracted_images\salov foto.png"
"FB aceite extra virgen + girasol blend 5 lit x 2 mixto","FB aceite extra virgen + girasol blend 5 lit mixto","","2","","SALOV","aceite mezcla","FALSE"
"FB Aceite Extra Virgen 750 mlx 12","FB Aceite Extra Virgen 750 mlx 12","","","","SALOV","aceites extra virgen ","FALSE"
"FB Aceite Extra Virgen 500 mlx 12","FB Aceite Extra Virgen 500 mlx 12","","","","SALOV","aceites extra virgen ","FALSE"
"FB Aceite Extra Virgen 250 mlx 12","FB Aceite Extra Virgen 250 mlx 12","","","","SALOV","aceites extra virgen ","extracted_images/salov foto.png"
"FB Pesto a la Genovesa Verde 190g x 6","FB Pesto a la Genovesa Verde","190g","6","","SALOV","salsa pesto","FALSE"
"FB Pesto de tomates secos rojo 190g x 6","FB Pesto de tomates secos rojo","190g","6","","SALOV","salsa pesto","FALSE"
"FB Pesto Ricotta y tomates 190g x 6","FB Pesto Ricotta y tomates","190g","6","","SALOV","salsa pesto","FALSE"
"FB Vinagre Balsamico 250 ml x 12","FB Vinagre Balsamico","250 ml","12","","SALOV","vinagres","FALSE"
"FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","","","","SALOV","aceite extra virgen saborizado","FALSE"
"FB Glaza balsamica 250 ml x 6","FB Glaza balsamica","250 ml","6","","SALOV","Vinagre balsamico","FALSE"
"Gemignani miel de trufas 250 gr x 9","Gemignani miel de trufas","250 gr","9","","GEMIGNANI ","Productos con trufa","extracted_images/Gemignani 250 ml .jpg"
"Gemignani aceite de trufas 250 gr x 6","Gemignani aceite de trufas","250 gr","6","","GEMIGNANI ","productos con trufa","extracted_images/Gemignani 250 ml .jpg"
"Gemignani tomates secos 1kg x 10","Gemignani tomates secos","1kg","10","","GEMIGNANI ","Tomates secos","extracted_images/Gemignani 250 ml .jpg"
"Crema tartufata especial 500 GR X 6 ( crema de trufas )","Crema tartufata especial ( crema de trufas )","500 GR","6","","VIANDER","productos con trufa","extracted_images/foto miel de trufas.jpeg"
